순위,분류,관련 키워드,언급건수
1,휴식/힐링,힐링,166263
2,레포츠,캠핑,100017
3,레포츠,등산,64289
4,레포츠,서핑,50305
5,레포츠,스키,45427
6,기타,투어,43769
7,레포츠,산행,35342
8,휴식/힐링,나들이,32661
9,휴식/힐링,휴양,31593
10,레포츠,낚시,30739
11,휴식/힐링,불멍,20306
12,레포츠,차박,17708
13,레포츠,레저,17605
14,레포츠,트레킹,17436
15,휴식/힐링,야영,15458
16,휴식/힐링,호캉스,15002
17,레포츠,글램핑,13724
18,휴식/힐링,피크닉,13063
19,기타,해외여행,12642
20,휴식/힐링,즐길거리,11679
21,휴식/힐링,우정여행,11342
22,레포츠,오토캠핑,9808
23,휴식/힐링,물멍,9654
24,휴식/힐링,겨울여행,8682
25,미식,먹부림,8362
26,기타,답사,7803
27,휴식/힐링,힐링여행,7536
28,미식,카페투어,7517
29,레포츠,스노쿨링,7399
30,기타,데이트코스,6831
31,레포츠,래프팅,6642
32,레포츠,트래킹,6368
33,휴식/힐링,가을여행,6006
34,레포츠,레포츠,5964
35,휴식/힐링,바다멍,5578
36,체험,수학여행,5022
37,휴식/힐링,신혼여행,4637
38,레포츠,짚라인,4578
39,레포츠,스노클링,4573
40,휴식/힐링,워케이션,4448
41,미식,맛집투어,4215
42,휴식/힐링,재충전,4058
43,레포츠,백패킹,4029
44,레포츠,카약,3976
45,미식,맛집탐방,3910
46,기타,기차여행,3734
47,레포츠,수상레저,3590
48,레포츠,스쿠버,3490
49,체험,템플스테이,3460
50,레포츠,바다낚시,3255
51,미식,빵지순례,3196
52,레포츠,패러글라이딩,3076
53,레포츠,캠핑족,3059
54,레포츠,오프로드,2937
55,기타,제주여행,2886
56,체험,농촌체험,2851
57,체험,시티투어,2847
58,미식,바베큐파티,2774
59,휴식/힐링,테라피,2706
60,휴식/힐링,드라이브코스,2673
61,레포츠,노지캠핑,2566
62,레포츠,감성캠핑,2501
63,휴식/힐링,태교여행,2417
64,레포츠,캠프파이어,2343
65,휴식/힐링,촌캉스,2336
66,레포츠,골프여행,2302
67,레포츠,해양레저,2256
68,레포츠,레저스포츠,2239
69,레포츠,클라이밍,2203
70,레포츠,스쿠버다이빙,2152
71,기타,추억여행,2101
72,휴식/힐링,단풍놀이,2032
73,레포츠,스킨스쿠버,1989
74,체험,동물체험,1982
75,기타,제주도여행,1965
76,레포츠,하이킹,1930
77,기타,도보여행,1888
78,휴식/힐링,생태관광,1859
79,체험,어촌체험,1838
80,기타,스탬프투어,1837
81,기타,부산여행,1835
82,휴식/힐링,봄여행,1693
83,레포츠,번지점프,1690
84,레포츠,패들보드,1680
85,레포츠,게이트볼,1648
86,기타,자유여행,1620
87,레포츠,스노우보드,1548
88,휴식/힐링,일광욕,1481
89,미식,먹방여행,1480
90,체험,생태체험,1428
91,레포츠,암벽등반,1372
92,기타,걷기여행,1347
93,레포츠,수상스키,1326
94,레포츠,해양스포츠,1273
95,레포츠,bmx,1248
96,휴식/힐링,즉흥여행,1212
97,레포츠,루어낚시,1200
98,미식,고기파티,1181
99,미식,먹킷리스트,1077
100,체험,숲체험,1022
101,휴식/힐링,숲캉스,1005
102,레포츠,바나나보트,971
103,휴식/힐링,숲멍,955
104,기타,유럽여행,947
105,체험,vr체험,929
106,체험,루지체험,892
107,레포츠,산악자전거,827
108,레포츠,제트스키,822
109,레포츠,글라이더,811
110,휴식/힐링,차크닉,806
111,체험,갯벌체험,805
112,레포츠,웨이크보드,804
113,체험,목공체험,753
114,기타,배낭여행,746
115,휴식/힐링,감성여행,741
116,레포츠,골프투어,740
117,기타,일본여행,728
118,레포츠,프리다이빙,716
118,휴식/힐링,허니문,716
120,레포츠,캠핑여행,705
121,체험,쿠킹클래스,694
122,휴식/힐링,산멍,693
123,체험,승마체험,688
124,휴식/힐링,파도멍,683
125,레포츠,오픈워터,679
126,레포츠,제트보트,662
127,미식,식도락여행,658
128,체험,먹이주기체험,652
129,레포츠,카라반캠핑,637
130,기타,세계여행,635
131,체험,한옥스테이,631
132,레포츠,써핑,610
133,체험,낚시체험,608
134,기타,패키지여행,589
135,휴식/힐링,요트투어,571
136,기타,자전거여행,565
136,체험,카누체험,565
138,체험,서핑체험,562
139,레포츠,트레일러닝,538
140,휴식/힐링,드라이브여행,521
141,레포츠,스키여행,511
142,기타,테마여행,496
143,레포츠,해양레포츠,495
144,체험,목장체험,485
145,휴식/힐링,온천여행,482
146,휴식/힐링,일출뷰,477
147,체험,족욕체험,475
148,기타,일출여행,473
149,레포츠,캠프닉,468
150,체험,양떼목장체험,452
151,레포츠,스케이트보드,447
152,미식,애프터눈티,437
153,레포츠,캠크닉,427
154,체험,공포체험,423
155,레포츠,윈드서핑,421
156,체험,버스투어,413
157,휴식/힐링,노을뷰,412
158,체험,한복체험,406
159,레포츠,빙벽등반,398
159,레포츠,민물낚시,398
161,휴식/힐링,낭만여행,394
162,휴식/힐링,농촌여행,388
163,체험,농장체험,379
164,체험,숙박체험,372
165,레포츠,ssi,370
166,미식,빵투어,369
167,체험,갯배체험,364
168,체험,전쟁체험,356
169,레포츠,수상스포츠,340
170,체험,요트체험,332
171,휴식/힐링,시골여행,331
172,레포츠,산악오토바이,326
173,휴식/힐링,눈꽃여행,322
174,기타,역사여행,316
175,체험,공예체험,301
176,체험,한옥체험,298
177,기타,졸업여행,289
178,레포츠,스노우쿨링,288
179,체험,수확체험,286
179,휴식/힐링,펫캉스,286
181,레포츠,페러글라이딩,282
182,기타,기념여행,281
183,레포츠,견지낚시,271
183,휴식/힐링,하늘멍,271
185,체험,동굴체험,270
186,레포츠,스쿼시,269
187,체험,택시투어,268
188,체험,건초주기체험,264
189,레포츠,수상레져,259
190,레포츠,버기카,253
191,미식,삼겹살파티,250
192,휴식/힐링,근교여행,247
192,체험,역사체험,247
194,휴식/힐링,벚꽃여행,245
195,레포츠,서바이벌게임,240
196,기타,열차여행,237
196,레포츠,낚시여행,237
198,체험,놀이체험,232
199,체험,다도체험,229
200,기타,세계일주,223
201,체험,배낚시체험,222
202,체험,카트체험,217
203,레포츠,padi,214
204,레포츠,패들보트,213
205,체험,요리체험,210
206,기타,오지여행,204
207,레포츠,모토캠핑,203
208,체험,딸기체험,188
209,체험,공방체험,187
210,레포츠,배스낚시,176
211,체험,목공예체험,173
212,레포츠,스킨스쿠버다이빙,167
213,체험,도자기체험,164
214,레포츠,캠핑라이프,163
215,휴식/힐링,책맥,160
216,체험,동물먹이주기체험,159
216,휴식/힐링,홈캉스,159
218,레포츠,패러세일링,158
219,레포츠,블롭점프,155
220,체험,카약체험,152
221,레포츠,스카이다이빙,149
222,미식,맥주파티,147
223,체험,원예체험,141
224,기타,야외취침,138
225,기타,자전거투어,137
226,체험,야경투어,132
227,기타,무전여행,129
228,체험,미술체험,125
229,기타,동남아여행,123
230,기타,소싸움,114
231,체험,보트체험,112
232,기타,데이트스냅,110
233,기타,청춘여행,109
234,휴식/힐링,북캉스,108
235,레포츠,알빙,107
235,체험,바다체험,107
235,기타,미국여행,107
235,미식,먹부림여행,107
239,휴식/힐링,키캉스,105
240,체험,명상체험,102
240,체험,사격체험,102
242,레포츠,클레이사격,101
243,레포츠,수상자전거,100
244,체험,양먹이주기체험,99
244,기타,해돋이여행,99
246,체험,물레체험,98
246,체험,농사체험,98
248,체험,곤충체험,96
249,체험,해양체험,95
250,레포츠,행글라이더,94
250,휴식/힐링,집콕생활,94
252,휴식/힐링,스테이케이션,92
253,레포츠,숏스키,91
254,체험,커피체험,90
255,레포츠,플라이낚시,89
256,레포츠,원스키,88
257,미식,와이너리투어,87
258,체험,동아리체험,86
259,기타,중국여행,85
260,체험,해양레저체험,84
261,체험,동물먹이체험,82
261,레포츠,스노우보딩,82
263,레포츠,아쿠아로빅,81
263,체험,알파카체험,81
265,미식,먹거리투어,79
265,휴식/힐링,숙소콕,79
267,체험,서바이벌체험,78
268,레포츠,애슬레저,77
269,휴식/힐링,일몰뷰,74
270,휴식/힐링,홈캠핑,73
271,레포츠,웨이크서핑,72
272,레포츠,스킨다이빙,69
273,체험,치즈체험,67
273,체험,블루베리체험,67
275,체험,선상낚시체험,66
276,체험,도예체험,64
277,체험,탁본체험,63
278,체험,유리공예체험,62
278,체험,산림문화체험,62
278,기타,도시여행,62
281,체험,투명카누체험,59
282,체험,감귤체험,58
282,휴식/힐링,밀월여행,58
284,미식,먹거리여행,56
284,체험,악기체험,56
286,체험,전통놀이체험,55
287,체험,액티비티체험,54
288,휴식/힐링,옥캉스,51
289,휴식/힐링,구름멍,49
290,체험,고택체험,48
291,체험,해녀체험,47
292,휴식/힐링,크루즈여행,46
292,레포츠,행글라이딩,46
292,체험,타종체험,46
295,체험,바다낚시체험,45
296,체험,클라이밍체험,44
297,레포츠,발야구,43
298,체험,맨발체험,42
299,체험,달고나체험,38
300,체험,활쏘기체험,37
301,체험,염색체험,36
301,체험,향수만들기,36
303,휴식/힐링,집캉스,35
303,체험,국궁체험,35
305,체험,물놀이체험,33
305,레포츠,골캉스,33
305,체험,텃밭체험,33
308,체험,박물관체험,32
308,레포츠,심해잠수,32
308,레포츠,암벽등산,32
311,레포츠,워터슬레이,30
311,체험,우유주기체험,30
313,체험,다이빙체험,29
313,레포츠,빠지패키지,29
315,휴식/힐링,석양뷰,28
316,기타,일출투어,27
317,체험,닥터피쉬체험,26
317,기타,일본관광,26
317,체험,다례체험,26
320,기타,순례여행,25
321,레포츠,씨워킹,24
321,체험,패러글라이딩체험,24
323,체험,농가체험,23
324,체험,우주체험,22
324,체험,천연염색체험,22
324,휴식/힐링,호텔스테이,22
324,레포츠,줄낚시,22
328,휴식/힐링,모캉스,21
328,레포츠,케이빙,21
328,레포츠,rving,21
328,체험,경비행기체험,21
332,체험,귀신체험,20
333,체험,마차체험,19
333,체험,민속놀이체험,19
333,휴식/힐링,혼놀,19
333,체험,스쿠버다이빙체험,19
337,체험,호텔체험,18
338,체험,말타기체험,17
338,체험,스노클링체험,17
338,체험,스노쿨링체험,17
341,체험,씨티투어,16
341,체험,수상레저체험,16
343,체험,조개체험,15
343,미식,빵집순례,15
345,체험,담력체험,14
345,미식,와인투어,14
345,체험,지게체험,14
348,기타,워킹투어,12
348,레포츠,인공암벽등반,12
348,휴식/힐링,카페케이션,12
348,체험,가죽공예체험,12
352,휴식/힐링,카캉스,11
352,체험,교복체험,11
352,레포츠,naui,11
352,휴식/힐링,홈콕,11
352,체험,한옥숙박체험,11
357,체험,레일바이크체험,10
357,체험,조종체험,10
357,체험,해병대캠프,10
357,체험,전통혼례체험,10
361,기타,일몰투어,9
361,체험,투명카약체험,9
361,레포츠,바이크캠핑,9
361,체험,한방족욕체험,9
361,휴식/힐링,황제관광,9
361,체험,조향체험,9
367,레포츠,cmas,8
367,레포츠,암벽산행,8
367,기타,일몰여행,8
367,체험,목판체험,8
367,체험,오프로드체험,8
367,체험,산사체험,8
373,체험,귤체험,7
373,레포츠,실내스키,7
373,체험,전통공예체험,7
373,체험,전원생활체험,7
373,체험,바티칸투어,7
373,체험,스쿠버체험,7
373,미식,미식체험,7
380,레포츠,줄없는번지,6
380,체험,해루질체험,6
380,레포츠,락클라이밍,6
383,레포츠,bsac,5
383,체험,증강현실체험,5
383,체험,딸기수확체험,5
383,체험,토끼먹이주기체험,5
383,체험,가우디투어,5
383,체험,향수체험,5
383,기타,덕질여행,5
383,체험,한복입기체험,5
391,레포츠,롤러스케이팅,4
391,체험,카라반체험,4
391,체험,낙타체험,4
391,체험,바지락체험,4
391,체험,엑스포체험,4
391,기타,문화재여행,4
397,체험,어린이승마체험,3
397,레포츠,롱스키,3
397,휴식/힐링,백캉스,3
397,체험,스카이워크체험,3
397,체험,학생승마체험,3
397,휴식/힐링,허니문투어,3
403,체험,비행시뮬레이션,2
403,체험,새먹이체험,2
403,휴식/힐링,룸캉스,2
403,휴식/힐링,옥터파크,2
403,휴식/힐링,홈핑,2
403,휴식/힐링,방구석캠핑,2
403,체험,뱃놀이체험,2
403,체험,크루즈체험,2
403,휴식/힐링,몰캉스,2
403,체험,랜선체험,2
403,휴식/힐링,한캉스,2
403,체험,전통의상체험,2
403,체험,프리다이빙체험,2
416,체험,말먹이주기체험,1
416,체험,한라봉체험,1
416,레포츠,스네이크보드,1
416,휴식/힐링,차캉스,1
416,체험,전기자전거체험,1
416,레포츠,웨이크보딩,1
416,체험,도서관체험,1
416,휴식/힐링,홈크닉,1
416,체험,양말목공예체험,1
416,체험,차문화체험,1
